query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
lactic acid,cpd:C01432,Lactate;Lactic acid;2-Hydroxypropanoic acid;2-Hydroxypropionic acid,C3H6O3,NA,NA,"Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00111)]; G GENITO URINARY SYSTEM AND SEX HORMONES;  G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;   G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS;    G01AD Organic acids;     G01AD01 Lactic acid;      D00111  Lactic acid (JP18/USP) &lt;JP&gt;;Therapeutic category of drugs in Japan [BR:br08301(D00111)]; 7  Agents not mainly for therapeutic purpose;  71  Dispensing medicines;   714  Flavorings, deodorants, coloring agents;    7149  Others;     D00111  Lactic acid (JP18/USP);Risk category of Japanese OTC drugs [BR:br08312(D00111)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Lactic acid;    D00111  Lactic acid (JP18/USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00111)]; Chemicals;  D00111  Lactic acid",1.1.1.436;3.5.1.124,R11562 R11563 R11564 R11676
Lignoceric acid NIST,C08320,Tetracosanoic acid,NA,Biosynthesis of unsaturated fatty acids,NA,NA,NA,NA
L-lysine,cpd:C00047,"L-Lysine;Lysine acid;2,6-Diaminohexanoic acid",C6H14N2O2,"Lysine biosynthesis;Lysine degradation;D-Amino acid metabolism;Biotin metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine;Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine;Lysine degradation, lysine => saccharopine => acetoacetyl-CoA;Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine;Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine;Ethynylserine biosynthesis, lysine => ethynylserine;Aerobactin biosynthesis, lysine => aerobactin;Lysine degradation, bacteria, L-lysine => succinate;Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA;Lysine degradation, bacteria, L-lysine => D-lysine => succinate",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00047  Lysine (Lys);Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D02304)]; B BLOOD AND BLOOD FORMING ORGANS;  B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;   B05X I.V. SOLUTION ADDITIVES;    B05XB Amino acids;     B05XB03 Lysine;      D02304  Lysine (USAN/INN);Risk category of Japanese OTC drugs [BR:br08312(D02304)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Lysine;    D02304  Lysine (USAN/INN),1.4.1.15;1.4.1.18;1.4.3.14;1.4.3.20;1.5.1.7;1.5.1.8;1.5.1.16;1.5.3.4;1.13.12.2;1.14.13.59;1.14.20.-;2.1.3.8;2.1.4.3;2.3.1.32;2.3.1.306;2.6.1.36;2.6.1.71;2.6.1.105;3.4.13.4;3.4.14.13;3.5.1.12;3.5.1.17;3.5.1.130;3.5.2.11;3.5.-.-;4.1.1.18;4.1.1.20;4.3.1.28;4.3.2.8;5.1.1.5;5.1.1.10;5.4.3.2;5.4.99.58;6.1.1.6;6.3.2.7;6.3.2.11;6.3.2.20;6.3.2.59;6.3.4.19,R00445 R00446 R00447 R00448 R00449 R00451 R00452 R00453;R00454 R00457 R00458 R00459 R00460 R00461 R00462 R00463;R00545 R00612 R00715 R00716 R00910 R00911 R01077 R01396;R01620 R02786 R03095 R03658 R07598 R07646 R08125 R09597;R09779 R10010 R10011 R10054 R10277 R10699 R11190 R11862;R12407 R12506
L-ornithine,cpd:C00077,"L-Ornithine;(S)-2,5-Diaminovaleric acid;(S)-2,5-Diaminopentanoic acid;(S)-2,5-Diaminopentanoate",C5H12N2O2,"Arginine biosynthesis;Arginine and proline metabolism;D-Amino acid metabolism;Glutathione metabolism;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Efferocytosis","Proline biosynthesis, glutamate => proline;Ornithine biosynthesis, glutamate => ornithine;Urea cycle;Polyamine biosynthesis, arginine => ornithine => putrescine;Ornithine biosynthesis, mediated by LysW, glutamate => ornithine;Cycloserine biosynthesis, arginine/serine => cycloserine;Arginine biosynthesis, ornithine => arginine;Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A;Proline metabolism",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C00077  L-Ornithine,1.5.1.24;1.14.13.195;1.14.13.196;2.1.3.3;2.1.4.1;2.1.4.2;2.1.4.3;2.3.1.35;2.3.1.127;2.3.2.30;2.6.1.13;3.5.1.14;3.5.1.16;3.5.1.20;3.5.1.132;3.5.3.1;3.5.3.25;4.1.1.17;4.3.1.12;5.1.1.9;5.1.1.10;5.1.1.12,R00551 R00565 R00664 R00665 R00666 R00667 R00668 R00669;R00670 R00671 R00672 R01343 R01398 R01686 R01989 R02282;R03477 R05547 R10466 R10789 R10790 R10933 R11801 R12506
L-tyrosine,cpd:C00082,L-Tyrosine;(S)-3-(p-Hydroxyphenyl)alanine;(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid;Tyrosine,C9H11NO3,"Ubiquinone and other terpenoid-quinone biosynthesis;Monobactam biosynthesis;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Novobiocin biosynthesis;Cyanoamino acid metabolism;Methane metabolism;Thiamine metabolism;Phenylpropanoid biosynthesis;Isoquinoline alkaloid biosynthesis;Betalain biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of vancomycin group antibiotics;Biosynthesis of enediyne antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Dopaminergic synapse;Melanogenesis;Prolactin signaling pathway;Protein digestion and absorption;Parkinson disease;Cocaine addiction;Amphetamine addiction;Alcoholism;Central carbon metabolism in cancer","Tyrosine biosynthesis, chorismate => HPP => tyrosine;Monolignol biosynthesis, phenylalanine/tyrosine => monolignol;Tyrosine biosynthesis, chorismate => arogenate => tyrosine;Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline;Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine;Tyrosine degradation, tyrosine => homogentisate;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP;Cyanogenic glycoside biosynthesis, tyrosine => dhurrin;C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP;Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP;Puromycin biosynthesis, ATP => puromycin;Methanofuran biosynthesis;Betacyanin biosynthesis, L-tyrosine => amaranthin",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00082  Tyrosine (Tyr);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00022)]; Chemicals;  D00022  L-Tyrosine,1.2.1.101;1.3.1.43;1.3.1.78;1.3.1.79;1.4.1.20;1.4.3.2;1.10.3.1;1.11.1.8;1.11.2.6;1.14.14.36;1.14.16.1;1.14.16.2;1.14.18.1;1.14.-.-;1.21.1.1;2.1.1.304;2.5.1.122;2.5.1.147;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.58;2.6.1.103;4.1.1.25;4.1.1.28;4.1.1.108;4.1.99.2;4.1.99.19;4.1.99.24;4.3.1.23;4.3.1.25;5.4.3.6;6.1.1.1;6.3.2.24;6.3.2.25,R00031 R00728 R00729 R00730 R00731 R00732 R00733 R00734;R00735 R00736 R00737 R00739 R01795 R01815 R02078 R02918;R03539 R04730 R05671 R06626 R06751 R07211 R07212 R08825;R09254 R09521 R09830 R10059 R10246 R10671 R10964 R10968;R11366 R11917 R12150 R12161 R12235 R12540 R12541 R12611;R12759 R13031
L-valine,cpd:C00183,L-Valine;2-Amino-3-methylbutyric acid,C5H11NO2,"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Penicillin and cephalosporin biosynthesis;Cyanoamino acid metabolism;Pantothenate and CoA biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin;Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00183  Valine (Val);Risk category of Japanese OTC drugs [BR:br08312(D00039)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Valine;    D00039  Valine (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00039)]; Chemicals;  D00039  L-Valine,1.4.1.8;1.4.1.9;1.4.1.23;1.14.14.38;1.14.14.39;2.6.1.6;2.6.1.32;2.6.1.42;2.6.1.66;4.1.1.14;6.1.1.9;6.3.2.26;6.3.2.47,R01212 R01214 R01215 R01434 R01437 R02200 R03665 R04870;R08663 R10031 R10941 R10942
Myo-Inositol phosphate NIST,C01177,Inositol 1-phosphate,NA,Inositol phosphate metabolism;Metabolic pathways;ABC transporters;Phosphatidylinositol signaling system,NA,NA,NA,NA
orcinol,cpd:C00727,"Orcinol;5-Methyl-1,3-benzenediol;5-Methylresorcinol;3,5-Toluenediol;3,5-Dihydroxytoluene",C7H8O2,NA,NA,NA,1.14.13.6;4.1.1.58,R02830 R02831
Serratene NIST,NA,NA,NA,NA,NA,NA,NA,NA
Stigmasterol NIST,C05442,Stigmasterol,NA,Steroid biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Metabolic pathways;Biosynthesis of secondary metabolites,NA,NA,NA,NA
3-Hydroxyphenylacetate,cpd:C05593,3-Hydroxyphenylacetate;3-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.14.13.63;1.14.14.9,R02515 R02517 R03299 R06791
4-Hydroxyphenylacetate,cpd:C00642,4-Hydroxyphenylacetate;4-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Degradation of flavonoids;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,Dietary phytochemicals [br08012.html]; Flavonoids;  C00642,1.2.1.5;1.2.1.29;1.2.1.39;1.2.1.53;1.2.3.13;1.14.13.18;1.14.14.9;4.1.1.83;6.2.1.-,R00042 R02514 R02516 R02695 R02697 R02698 R02699 R06790;R07312 R13086
Benzoate,cpd:C00180,Benzoate;Benzoic acid;Benzenecarboxylic acid;Phenylformic acid;Dracylic acid,C7H6O2,Benzoate degradation;Dioxin degradation;Toluene degradation;Aminobenzoate degradation;Biosynthesis of various alkaloids;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Toluene degradation, toluene => benzoate;Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",Therapeutic category of drugs in Japan [BR:br08301(D00038)]; 7  Agents not mainly for therapeutic purpose;  73  Public health agents;   731  Antiseptics;    7319  Others;     D00038  Benzoic acid (JP18/USP);Risk category of Japanese OTC drugs [BR:br08312(D00038)]; Designated second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Third-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP);Animal drugs in Japan [BR:br08331]; 99  Agents for not mainly purpose of therapeutic;  992  Amphoteric soap and preparations;   9929  Other agents for disinfections;    C00180  Benzoate;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00038)]; Chemicals;  D00038  Benzoic acid,1.2.1.7;1.2.1.28;1.14.12.10;1.14.13.-;1.14.14.92;2.1.1.273;3.1.1.1;3.1.1.84;3.5.1.4;3.5.1.32;3.5.1.40;3.5.5.1;3.6.1.7;3.6.1.20;3.7.1.8;6.2.1.25,R01295 R01419 R01420 R01421 R01422 R01423 R01424 R01425;R01426 R01427 R02606 R05590 R05591 R05621 R05622 R06727;R06728 R07188 R07835 R08838 R09088 R10447
Betaine,cpd:C00719,"Betaine;Trimethylaminoacetate;Glycine betaine;N,N,N-Trimethylglycine;Trimethylammonioacetate",C5H11NO2,"Glycine, serine and threonine metabolism;Metabolic pathways;ABC transporters","Betaine biosynthesis, choline => betaine;Betaine metabolism, animals, betaine => glycine;Betaine degradation, bacteria, betaine => pyruvate","Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D07523)]; A ALIMENTARY TRACT AND METABOLISM;  A16 OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS;   A16A OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS;    A16AA Amino acids and derivatives;     A16AA06 Betaine;      D07523  Betaine (JAN) &lt;JP/US&gt;;USP drug classification [BR:br08302(D07523)]; Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment;  Betaine;   D07523  Betaine (JAN);Therapeutic category of drugs in Japan [BR:br08301(D07523)]; 3  Agents affecting metabolism;  39  Other agents affecting metabolism;   399  Miscellaneous;    3999  Others;     D07523  Betaine (JAN);Risk category of Japanese OTC drugs [BR:br08312(D07523)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Betaine;    D07523  Betaine (JAN);New drug approvals in Europe [br08329.html(D07523)]; European public assessment reports (EPAR) authorised medicine;  D07523;New drug approvals in Japan [br08318.html(D07523)]; Drugs with new active ingredients;  D07523;New drug approvals in the USA, Europe and Japan [br08328.html(D07523)]; Approval dates by FDA, EMA and PMDA;  D07523",1.1.3.17;1.2.1.8;1.13.11.90;1.14.13.251;1.21.4.4;2.1.1.5;2.1.1.157;2.1.1.161;2.1.1.162;2.1.1.376,R02565 R02566 R02821 R07228 R07244 R08211 R08212 R10061;R10062 R12614 R12787 R13016
Fructose,cpd:C05003,D-Fructose;D-arabino-Hex-2-ulopyranose,C6H12O6,NA,NA,NA,NA,NA
O-Acetylcholine,cpd:C01996,Acetylcholine;O-Acetylcholine,C7H16NO2,Glycerophospholipid metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Synaptic vesicle cycle;Cholinergic synapse;Taste transduction;Regulation of actin cytoskeleton;Insulin secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Pathways of neurodegeneration - multiple diseases;Nicotine addiction,NA,Compounds with biological roles [BR:br08001]; Hormones and transmitters;  Neurotransmitters;   Acetylcholine;    C01996  Acetylcholine;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; S SENSORY ORGANS;  S01 OPHTHALMOLOGICALS;   S01E ANTIGLAUCOMA PREPARATIONS AND MIOTICS;    S01EB Parasympathomimetics;     S01EB09 Acetylcholine;      C01996  Acetylcholine;Drug groups [BR:br08330]; Cardiovascular agent;  DG01532  Nicotinic cholinergic receptor agonist;   DG01133  Acetylcholine;    C01996  Acetylcholine; Neuropsychiatric agent;  DG01490  Muscarinic cholinergic receptor agonist;   DG01133  Acetylcholine;    C01996  Acetylcholine; Ophthalmic agent;  DG03201  Intraocular pressure lowering agent;   DG01133  Acetylcholine;    C01996  Acetylcholine; Metabolizing enzyme substrate;  DG02974  ACHE substrate;   DG01133  Acetylcholine;    C01996  Acetylcholine,2.3.1.6;3.1.1.7;3.1.1.8,R01023 R01026
Phenylalanine,cpd:C00079,L-Phenylalanine;(S)-alpha-Amino-beta-phenylpropionic acid,C9H11NO2,"Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Cyanoamino acid metabolism;D-Amino acid metabolism;Phenylpropanoid biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various alkaloids;Biosynthesis of various other secondary metabolites;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine;Monolignol biosynthesis, phenylalanine/tyrosine => monolignol;Flavanone biosynthesis, phenylalanine => naringenin;Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline;Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00079  Phenylalanine (Phe);Risk category of Japanese OTC drugs [BR:br08312(D00021)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Phenylalanine;    D00021  Phenylalanine (USP/INN);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00021)]; Chemicals;  D00021  L-Phenylalanine,1.4.1.20;1.4.3.2;1.11.1.21;1.13.12.9;1.14.14.40;1.14.16.1;1.14.16.7;2.3.1.53;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.28;2.6.1.57;2.6.1.58;2.6.1.64;2.6.1.70;2.6.1.-;3.4.17.23;4.1.1.28;4.1.1.53;4.1.1.109;4.2.1.51;4.2.1.91;4.3.1.24;4.3.1.25;5.1.1.11;5.4.3.10;5.4.3.11;6.1.1.20;6.3.2.40;6.3.2.-,R00686 R00688 R00689 R00690 R00691 R00692 R00693 R00694;R00695 R00697 R00698 R00699 R01375 R01376 R01795 R03660;R06744 R07211 R08463 R08652 R08690 R09535 R09578 R09579;R10286 R10287 R10495 R10499 R10729 R11068 R11918 R12413;R12540 R12543
