query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
Benzoate,cpd:C00180,Benzoate;Benzoic acid;Benzenecarboxylic acid;Phenylformic acid;Dracylic acid,C7H6O2,Benzoate degradation;Dioxin degradation;Toluene degradation;Aminobenzoate degradation;Biosynthesis of various alkaloids;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Toluene degradation, toluene => benzoate;Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",Therapeutic category of drugs in Japan [BR:br08301(D00038)]; 7  Agents not mainly for therapeutic purpose;  73  Public health agents;   731  Antiseptics;    7319  Others;     D00038  Benzoic acid (JP18/USP);Risk category of Japanese OTC drugs [BR:br08312(D00038)]; Designated second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Third-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP);Animal drugs in Japan [BR:br08331]; 99  Agents for not mainly purpose of therapeutic;  992  Amphoteric soap and preparations;   9929  Other agents for disinfections;    C00180  Benzoate;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00038)]; Chemicals;  D00038  Benzoic acid,1.2.1.7;1.2.1.28;1.14.12.10;1.14.13.-;1.14.14.92;2.1.1.273;3.1.1.1;3.1.1.84;3.5.1.4;3.5.1.32;3.5.1.40;3.5.5.1;3.6.1.7;3.6.1.20;3.7.1.8;6.2.1.25,R01295 R01419 R01420 R01421 R01422 R01423 R01424 R01425;R01426 R01427 R02606 R05590 R05591 R05621 R05622 R06727;R06728 R07188 R07835 R08838 R09088 R10447
D-lyxose,cpd:C00476,D-Lyxose,C5H10O5,Pentose and glucuronate interconversions,NA,Compounds with biological roles [BR:br08001]; Carbohydrates;  Monosaccharides;   Aldoses;    C00476  D-Lyxose,5.3.1.15,R01898
Glycerol monostearate NIST,NA,NA,NA,NA,NA,NA,NA,NA
Hexacosanoic acid NIST,C21931,Hexacosanoic acid,NA,NA,NA,NA,NA,NA
lactose,cpd:C00243,Lactose;1-beta-D-Galactopyranosyl-4-D-glucopyranose;beta-D-Gal-(1->4)-D-Glc;Milk sugar,C12H22O11,Galactose metabolism;Metabolic pathways;ABC transporters;Phosphotransferase system (PTS);Carbohydrate digestion and absorption,NA,Compounds with biological roles [BR:br08001]; Carbohydrates;  Oligosaccharides;   Disaccharides;    C00243  Lactose; Milk sugar;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00046)]; Chemicals;  D00046  Anhydrous lactose,1.1.99.13;2.4.1.22;2.7.1.207;3.2.1.23;3.2.1.108;3.2.1.140,R00503 R01100 R01678 R01680 R04393 R05166
L-glutamic acid,cpd:C00025,L-Glutamate;L-Glutamic acid;L-Glutaminic acid;Glutamate,C5H9NO4,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Carbapenem biosynthesis;Histidine metabolism;Taurine and hypotaurine metabolism;D-Amino acid metabolism;Glutathione metabolism;Neomycin, kanamycin and gentamicin biosynthesis;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;C5-Branched dibasic acid metabolism;Porphyrin metabolism;Nitrogen metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Two-component system;FoxO signaling pathway;Phospholipase D signaling pathway;Neuroactive ligand-receptor interaction;Ferroptosis;Gap junction;Circadian entrainment;Long-term potentiation;Synaptic vesicle cycle;Retrograde endocannabinoid signaling;Glutamatergic synapse;GABAergic synapse;Long-term depression;Taste transduction;Proximal tubule bicarbonate reclamation;Protein digestion and absorption;Amyotrophic lateral sclerosis;Huntington disease;Spinocerebellar ataxia;Pathways of neurodegeneration - multiple diseases;Cocaine addiction;Amphetamine addiction;Nicotine addiction;Alcoholism;Central carbon metabolism in cancer","Proline biosynthesis, glutamate => proline;GABA (gamma-Aminobutyrate) shunt;Ornithine biosynthesis, glutamate => ornithine;Histidine degradation, histidine => N-formiminoglutamate => glutamate;Glutathione biosynthesis, glutamate => glutathione;Heme biosynthesis, plants and bacteria, glutamate => heme;Photorespiration;Methylaspartate cycle;Ornithine biosynthesis, mediated by LysW, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Arginine succinyltransferase pathway, arginine => glutamate;Proline degradation, proline => glutamate",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00025  Glutamic acid (Glu); Hormones and transmitters;  Neurotransmitters;   Amino acids;    C00025  Glutamate;Risk category of Japanese OTC drugs [BR:br08312(D00007)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Glutamic acid;    D00007  Glutamic acid (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00007)]; Chemicals;  D00007  L-Glutamic acid,1.2.1.88;1.4.1.2;1.4.1.3;1.4.1.4;1.4.1.13;1.4.1.14;1.4.3.11;1.4.7.1;1.5.1.9;1.5.1.10;1.5.3.18;1.5.99.5;1.14.11.76;2.1.1.21;2.1.2.5;2.3.1.1;2.3.1.14;2.3.1.35;2.3.2.2;2.3.2.-;2.4.2.14;2.5.1.140;2.6.1.1;2.6.1.2;2.6.1.3;2.6.1.4;2.6.1.5;2.6.1.6;2.6.1.7;2.6.1.9;2.6.1.11;2.6.1.13;2.6.1.16;2.6.1.17;2.6.1.19;2.6.1.22;2.6.1.23;2.6.1.24;2.6.1.26;2.6.1.27;2.6.1.29;2.6.1.33;2.6.1.34;2.6.1.36;2.6.1.38;2.6.1.39;2.6.1.42;2.6.1.44;2.6.1.48;2.6.1.49;2.6.1.52;2.6.1.55;2.6.1.57;2.6.1.59;2.6.1.65;2.6.1.67;2.6.1.72;2.6.1.75;2.6.1.76;2.6.1.79;2.6.1.80;2.6.1.81;2.6.1.82;2.6.1.83;2.6.1.85;2.6.1.86;2.6.1.87;2.6.1.89;2.6.1.90;2.6.1.92;2.6.1.93;2.6.1.94;2.6.1.95;2.6.1.98;2.6.1.102;2.6.1.103;2.6.1.104;2.6.1.106;2.6.1.107;2.6.1.109;2.6.1.110;2.6.1.111;2.6.1.114;2.6.1.116;2.6.1.118;2.6.1.120;2.6.1.122;2.6.1.123;2.6.1.-;2.7.2.11;3.4.17.21;3.4.19.9;3.4.19.13;3.4.19.14;3.4.19.16;3.5.1.2;3.5.1.38;3.5.1.55;3.5.1.65;3.5.1.68;3.5.1.87;3.5.1.94;3.5.1.96;3.5.1.118;3.5.1.123;3.5.1.129;3.5.2.9;3.5.3.8;4.1.1.15;4.1.3.27;4.2.1.168;4.3.2.10;4.3.3.6;5.1.1.3;5.4.3.9;5.4.99.1;6.1.1.17;6.1.1.24;6.2.1.39;6.2.1.68;6.3.1.2;6.3.1.6;6.3.1.11;6.3.1.17;6.3.1.18;6.3.2.2;6.3.2.12;6.3.2.17;6.3.2.18;6.3.2.31;6.3.2.32;6.3.2.33;6.3.2.34;6.3.2.41;6.3.2.42;6.3.2.53;6.3.2.60;6.3.2.-;6.3.4.2;6.3.4.12;6.3.4.24;6.3.5.1;6.3.5.2;6.3.5.3;6.3.5.4;6.3.5.5;6.3.5.6;6.3.5.7;6.3.5.9;6.3.5.10;6.3.5.11;6.3.5.12;6.3.5.13;6.3.5.-,R00021 R00093 R00114 R00239 R00243 R00245 R00248 R00250;R00251 R00253 R00254 R00256 R00257 R00258 R00259 R00260;R00261 R00262 R00263 R00355 R00372 R00411 R00457 R00494;R00525 R00573 R00575 R00578 R00609 R00667 R00668 R00684;R00694 R00707 R00708 R00734 R00768 R00894 R00895 R00908;R00942 R00986 R01072 R01090 R01155 R01161 R01214 R01231;R01339 R01585 R01586 R01648 R01654 R01684 R01716 R01939;R01956 R02040 R02077 R02199 R02237 R02274 R02282 R02283;R02285 R02287 R02313 R02315 R02433 R02619 R02700 R02772;R02773 R02929 R02930 R03053 R03120 R03189 R03207 R03243;R03266 R03651 R03905 R03916 R03952 R03970 R03971 R04028;R04029 R04051 R04171 R04173 R04188 R04212 R04217 R04234;R04241 R04242 R04269 R04338 R04438 R04463 R04467 R04475;R04529 R04558 R04776 R05052 R05085 R05197 R05207 R05224;R05225 R05507 R05578 R05815 R06423 R06426 R06586 R06631;R06634 R06977 R07275 R07276 R07277 R07396 R07414 R07419;R07456 R07613 R07643 R07659 R08244 R08855 R08897 R08903;R08905 R08906 R08931 R08956 R09195 R09399 R09400 R09401;R09495 R09594 R09598 R09599 R09778 R09824 R09825 R09875;R10086 R10089 R10094 R10141 R10153 R10460 R10677 R10678;R10679 R10687 R10688 R10693 R10698 R10772 R10845 R10902;R10929 R10932 R10991 R10993 R11021 R11118 R11269 R11270;R11285 R11291 R11297 R11298 R11299 R11395 R11409 R11475;R11515 R11561 R11607 R11627 R11705 R11792 R11793 R11794;R11795 R11960 R11963 R12214 R12251 R12272 R12352 R12410;R12412 R12590 R12606 R12663 R12688 R12728 R12730 R12906;R12936 R12939 R13098 R13148
L-leucine,cpd:C00123,L-Leucine;2-Amino-4-methylvaleric acid;(2S)-alpha-2-Amino-4-methylvaleric acid;(2S)-alpha-Leucine,C6H13NO2,"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from histidine and purine;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;mTOR signaling pathway;Protein digestion and absorption;Mineral absorption;Shigellosis;Central carbon metabolism in cancer","Leucine degradation, leucine => acetoacetate + acetyl-CoA",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00123  Leucine (Leu);Risk category of Japanese OTC drugs [BR:br08312(D00030)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Leucine;    D00030  Leucine (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00030)]; Chemicals;  D00030  L-Leucine,1.4.1.9;1.14.13.-;2.3.1.66;2.6.1.6;2.6.1.42;2.6.1.67;3.5.1.64;5.4.3.7;6.1.1.4;6.3.2.47,R01088 R01089 R01090 R01091 R02552 R03657 R08411 R08664;R10944
L-serine,cpd:C00065,L-Serine;L-2-Amino-3-hydroxypropionic acid;L-3-Hydroxy-alanine;Serine,C3H7NO3,"Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glycerophospholipid metabolism;Sphingolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Vancomycin resistance;ABC transporters;Sphingolipid signaling pathway;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Serine biosynthesis, glycerate-3P => serine;Cysteine biosynthesis, serine => cysteine;Methionine degradation;Ceramide biosynthesis;Cysteine biosynthesis, homocysteine + serine => cysteine;Formaldehyde assimilation, serine pathway;Photorespiration;Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A;Cycloserine biosynthesis, arginine/serine => cycloserine;Staphyloferrin B biosynthesis, L-serine => staphyloferrin B;Betaine degradation, bacteria, betaine => pyruvate",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00065  Serine (Ser);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00016)]; Chemicals;  D00016  L-Serine,1.1.1.276;1.1.1.387;1.4.1.7;2.1.2.1;2.3.1.30;2.3.1.50;2.6.1.45;2.6.1.51;2.7.1.80;2.7.1.225;2.7.1.226;2.7.8.4;2.7.8.8;2.7.8.29;2.7.8.38;2.8.1.4;3.1.3.3;3.1.4.13;4.1.1.-;4.2.1.20;4.2.1.22;4.2.1.50;4.2.1.122;4.3.1.17;4.3.1.19;5.1.1.10;5.1.1.18;6.1.1.11;6.2.1.72;6.3.2.14,R00220 R00581 R00582 R00584 R00585 R00586 R00588 R00589;R00590 R00674 R00891 R00945 R01281 R01289 R01290 R01800;R02378 R02563 R02722 R02817 R03662 R03923 R04942 R06126;R07376 R07377 R07644 R08218 R09099 R10255 R10441 R10880;R10984 R10985 R10986 R11667 R12342 R12344 R12757 R12779;R12781 R13249
Octacosanoic acid NIST,NA,NA,NA,NA,NA,NA,NA,NA
Tricosanoic acid NIST,NA,NA,NA,NA,NA,NA,NA,NA
Alanine,cpd:C00041,L-Alanine;L-2-Aminopropionic acid;L-alpha-Alanine,C3H7NO2,"Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Selenocompound metabolism;D-Amino acid metabolism;Carbon fixation in photosynthetic organisms;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Vancomycin resistance;ABC transporters;Sulfur relay system;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","C4-dicarboxylic acid cycle, NAD - malic enzyme type;Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00041  Alanine (Ala);Risk category of Japanese OTC drugs [BR:br08312(D00012)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Alanine;    D00012  Alanine (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00012)]; Chemicals;  D00012  L-Alanine,1.4.1.1;1.5.1.17;2.3.1.47;2.6.1.2;2.6.1.12;2.6.1.15;2.6.1.18;2.6.1.30;2.6.1.37;2.6.1.40;2.6.1.41;2.6.1.43;2.6.1.44;2.6.1.46;2.6.1.47;2.6.1.51;2.6.1.56;2.6.1.58;2.6.1.66;2.6.1.71;2.6.1.77;2.6.1.84;2.6.1.96;2.6.1.99;2.6.1.108;2.6.1.113;2.6.1.115;2.6.1.119;2.8.1.7;2.8.1.9;3.5.1.28;3.7.1.3;4.1.1.12;4.1.1.64;4.4.1.16;5.1.1.1;6.1.1.7;6.2.1.67;6.3.2.8;6.3.2.49;6.3.2.-,R00258 R00369 R00396 R00397 R00398 R00400 R00401 R00453;R00576 R00585 R00692 R00863 R00907 R00987 R01215 R01261;R01712 R02050 R02271 R02293 R02668 R02970 R03001 R03038;R03193 R03210 R03502 R03599 R03854 R03936 R04112 R04152;R04187 R05652 R07460 R08197 R08714 R08872 R09048 R09254;R10124 R10178 R10180 R10992 R11038 R11064 R11528 R11583;R12343 R12417 R12419 R12622 R12725 R12727
Ethanol,cpd:C00469,Ethanol;Ethyl alcohol;Methylcarbinol,C2H6O,Glycolysis / Gluconeogenesis;Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Inflammatory mediator regulation of TRP channels;Alcoholic liver disease;Alcoholism;Chemical carcinogenesis - reactive oxygen species,NA,Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00068)]; D DERMATOLOGICALS;  D08 ANTISEPTICS AND DISINFECTANTS;   D08A ANTISEPTICS AND DISINFECTANTS;    D08AX Other antiseptics and disinfectants;     D08AX08 Ethanol;      D00068  Alcohol (USP) &lt;JP/US&gt;; V VARIOUS;  V03 ALL OTHER THERAPEUTIC PRODUCTS;   V03A ALL OTHER THERAPEUTIC PRODUCTS;    V03AB Antidotes;     V03AB16 Ethanol;      D00068  Alcohol (USP) &lt;JP/US&gt;;    V03AZ Nerve depressants;     V03AZ01 Ethanol;      D00068  Alcohol (USP) &lt;JP/US&gt;;Therapeutic category of drugs in Japan [BR:br08301(D00068)]; 2  Agents affecting individual organs;  26  Epidermides;   261  Antimicrobial agents;    2615  Alcohols;     D00068  Alcohol (USP); Anhydrous ethanol (JP18); 4  Agents affecting cellular function;  42  Antineoplastics;   429  Miscellaneous;    4291  Other Antitumors;     D00068  Alcohol (USP); Anhydrous ethanol (JP18);Classification of Japanese OTC drugs [BR:br08313(D00068)]; Agents for integumentary system;  54 Disinfectants (incl. special bandages);   D00068  Alcohol (USP);Risk category of Japanese OTC drugs [BR:br08312(D00068)]; Second-class OTC drugs;  Inorganic and organic chemicals;   Ethanol;    D00068  Alcohol (USP); Third-class OTC drugs;  Inorganic and organic chemicals;   Ethanol;    D00068  Alcohol (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00068)]; Chemicals;  D00068  Anhydrous ethanol,1.1.1.1;1.1.1.2;1.1.1.71;1.1.2.7;1.1.2.8;1.1.5.5;1.1.99.36;2.3.1.152;2.3.1.268;3.1.1.67;3.1.1.113;3.5.1.75,R00746 R00754 R02359 R02682 R04410 R05198 R09127 R09479;R09552 R11957 R12515
